Tamaño de la lista, Tiempo de ejecución (segundos)
100, 0
1000, 0.001
2000, 0.001
3000, 0.002
4000, 0.002
5000, 0.002
6000, 0.002
7000, 0.004
8000, 0.004
9000, 0.003
10000, 0.004
20000, 0.01
30000, 0.016
40000, 0.02
50000, 0.027
