Size,Time
100,0
1000,0
2000,0.001
3000,0.002
4000,0.002
5000,0.002
6000,0.003
7000,0.003
8000,0.004
9000,0.005
10000,0.005
20000,0.009
30000,0.014
40000,0.022
50000,0.022
