Size,Time
100,0.000000
1000,0.000000
2000,0.000489
3000,0.001002
4000,0.001000
5000,0.001501
6000,0.001499
7000,0.001500
8000,0.001999
9000,0.001000
10000,0.000888
20000,0.002534
30000,0.010456
40000,0.028842
50000,0.006104
