Size,Time
100,0.0
1000,0.004
2000,0.016
3000,0.037
4000,0.061
5000,0.091
6000,0.133
7000,0.18
8000,0.239
9000,0.329
10000,0.402
20000,1.597
30000,3.641
40000,6.561
50000,10.354
