Size,Time
100, 0
1000, 0.005
2000, 0.018
3000, 0.036
4000, 0.056
5000, 0.09
6000, 0.134
7000, 0.18
8000, 0.245
9000, 0.33
10000, 0.439
20000, 1.774
30000, 3.841
40000, 6.636
50000, 10.389
