Size,Time
100, 0
1000, 0.004
2000, 0.016
3000, 0.037
4000, 0.064
5000, 0.092
6000, 0.128
7000, 0.181
8000, 0.245
9000, 0.326
10000, 0.402
20000, 1.568
30000, 3.641
40000, 6.493
50000, 10.354
