Size,Time
100, 0
1000, 0.004
2000, 0.014
3000, 0.037
4000, 0.063
5000, 0.091
6000, 0.132
7000, 0.188
8000, 0.238
9000, 0.326
10000, 0.406
20000, 1.617
30000, 3.629
40000, 6.561
50000, 10.334
