Size,Time
100,3.24000
1000,0.0017527
2000,0.0103451
3000,0.0156547
4000,0.0260954
5000,0.0401523
6000,0.0534328
7000,0.0722925
8000,0.0957041
9000,0.113433
10000,0.143634
20000,0.564745
30000,1.29972
40000,2.26683
50000,3.55109
