Size,Time
100,0.0
1000,0.000569
2000,0.002465
3000,0.005071
4000,0.009104
5000,0.013654
6000,0.021199
7000,0.028039
8000,0.032583
9000,0.040743
10000,0.050977
20000,0.32836
30000,0.856949
40000,1.634291
50000,2.652351
