Size,Time
100,0.000000
1000,0.000569
2000,0.002089
3000,0.004952
4000,0.008890
5000,0.014002
6000,0.021199
7000,0.027305
8000,0.034663
9000,0.039126
10000,0.051468
20000,0.324516
30000,0.849235
40000,1.628589
50000,2.641212
