Tamaño de la lista,Tiempo de ejecución (segundos)
100,0.000499725341796875
1000,0.0030002593994140625
2000,0.006502628326416016
3000,0.007794857025146484
4000,0.00859212875366211
5000,0.010990619659423828
6000,0.013723373413085938
7000,0.016048669815063477
8000,0.017816781997680664
9000,0.020598649978637695
10000,0.025959014892578125
20000,0.04982328414916992
30000,0.08758997917175293
40000,0.10752725601196289
50000,0.14092230796813965
