Size,Desv
100,0.000273711
1000,0.000496896
2000,0.001306972
3000,0.001990419
4000,0.003585982
5000,0.004190671
6000,0.019467301
7000,0.005171421
8000,0.007381944
9000,0.00544417
10000,0.008351333
20000,0.00379523
30000,0.004376109
40000,0.008166754
50000,0.013530791
