Size,Desv
100,0
1000,0.0005
2000,0.0005
3000,0.000816497
4000,0
5000,0.0005
6000,0.000957427
7000,0.001892969
8000,0.0005
9000,0.000957427
10000,0.000957427
20000,0.000957427
30000,0.001
40000,0.000957427
50000,0.002708013
