Size,Time
100,0
1000,0.00025
2000,0.00075
3000,0.002
4000,0.002
5000,0.00225
6000,0.00275
7000,0.00425
8000,0.00425
9000,0.00375
10000,0.00475
20000,0.00975
30000,0.0155
40000,0.02075
50000,0.026
