Size,Time
100,3.24e-05
1000,0.0017737
2000,0.0106551
3000,0.0220019
4000,0.0304501
5000,0.0794802
6000,0.0534328
7000,0.0704239
8000,0.096232
9000,0.110716
10000,0.134848
20000,0.561633
30000,1.26197
40000,2.25081
50000,3.55109
