Size,Time
100, 0.001
1000, 0.003
2000, 0.015
3000, 0.037
4000, 0.06
5000, 0.095
6000, 0.175
7000, 0.179
8000, 0.239
9000, 0.329
10000, 0.384
20000, 1.57
30000, 3.652
40000, 6.444
50000, 10.141
