Size,Time
100,6.13e-05
1000,0.0023055
2000,0.0103451
3000,0.0239974
4000,0.0255247
5000,0.0389149
6000,0.0529078
7000,0.0708782
8000,0.0970218
9000,0.121526
10000,0.145596
20000,0.568113
30000,1.29972
40000,2.27588
50000,3.55372
