Size,Time
100,9.7e-06
1000,0.0001131
2000,0.0003278
3000,0.0005085
4000,0.0008066
5000,0.0009632
6000,0.0012319
7000,0.0009101
8000,0.0012197
9000,0.0014416
10000,0.0012755
20000,0.0033031
30000,0.0062535
40000,0.0089576
50000,0.0108256
