Size,Time
100,0.000000
1000,0.000512
2000,0.002568
3000,0.005593
4000,0.010171
5000,0.050289
6000,0.025869
7000,0.024790
8000,0.035581
9000,0.040263
10000,0.051302
20000,0.321595
30000,0.865607
40000,1.673367
50000,2.671464
