Size,Time
100,0.0
1000,0.000512
2000,0.002498
3000,0.005593
4000,0.0095
5000,0.013986
6000,0.021006
7000,0.026578
8000,0.032797
9000,0.040166
10000,0.050771
20000,0.32511
30000,0.858342
40000,1.66511
50000,2.666331
