Size,Time
100,0.000001
1000,0.000515
2000,0.002050
3000,0.004832
4000,0.008764
5000,0.012688
6000,0.016742
7000,0.024997
8000,0.030060
9000,0.036741
10000,0.046706
20000,0.176661
30000,0.388261
40000,0.690024
50000,1.063115
