Size,Desv
100,0.44399583000056486
1000,1.974693900329871e-05
2000,3.0431076221520656e-05
3000,5.555690416140913e-05
4000,0.00012365310509647543
5000,0.00014638973461277943
6000,0.00017704590817073406
7000,0.00023397089220670168
8000,0.00017712566612436496
9000,0.000400628852680383
10000,0.00025044318317734264
20000,0.00039907435196965494
30000,0.000649982761617568
40000,0.000831305731003943
50000,0.0012820200226205517
