Size,Time
100,1.1100
1000,0.0001323
2000,0.000243
3000,0.0004151
4000,0.0004607
5000,0.0006327
6000,0.0011553
7000,0.0008872
8000,0.0015097
9000,0.0022057
10000,0.0016357
20000,0.0036788
30000,0.0050719
40000,0.0077511
50000,0.0122447
