Size,Time
100,0.000000
1000,0.000500
2000,0.002000
3000,0.005665
4000,0.008965
5000,0.013681
6000,0.019064
7000,0.026578
8000,0.035553
9000,0.039704
10000,0.050771
20000,0.325206
30000,0.857331
40000,1.649332
50000,2.627628
