Size,Time
100,0.000501
1000,0.000500
2000,0.002498
3000,0.005000
4000,0.009500
5000,0.013986
6000,0.022310
7000,0.025251
8000,0.030606
9000,0.039603
10000,0.050516
20000,0.325110
30000,0.855482
40000,1.641829
50000,2.802047
