Tamaño de la lista,Tiempo de ejecución (segundos)
100,0.000000
1000,0.000501
2000,0.002036
3000,0.004500
4000,0.010229
5000,0.012595
6000,0.018574
7000,0.025823
8000,0.033810
9000,0.040093
10000,0.045193
20000,0.174825
30000,0.411808
40000,0.724536
50000,1.082322
