Tamaño de la lista,Tiempo de ejecución (segundos)
100,0.000000
1000,0.000514
2000,0.002146
3000,0.005019
4000,0.008320
5000,0.012751
6000,0.018596
7000,0.025977
8000,0.030821
9000,0.040195
10000,0.044623
20000,0.185498
30000,0.384869
40000,0.759977
50000,1.111899
