Tamaño de la lista,Tiempo de ejecución (segundos)
100,0.000000
1000,0.000510
2000,0.002600
3000,0.005882
4000,0.008509
5000,0.012899
6000,0.018022
7000,0.023812
8000,0.032403
9000,0.036411
10000,0.044631
20000,0.175952
30000,0.385653
40000,0.699151
50000,1.079715
