Size,Time
100,0.000299835
1000,0.002500582
2000,0.005723143
3000,0.007876539
4000,0.012188148
5000,0.015273046
6000,0.021880102
7000,0.01952076
8000,0.02267766
9000,0.024641943
10000,0.029058456
20000,0.051939583
30000,0.086161947
40000,0.114409733
50000,0.143312216
