Tamaño de la lista,Tiempo de ejecución (segundos)
100,0.0
1000,0.001999378204345703
2000,0.004026889801025391
3000,0.005502223968505859
4000,0.014147281646728516
5000,0.015538215637207031
6000,0.012124300003051758
7000,0.014438867568969727
8000,0.02073812484741211
9000,0.01952672004699707
10000,0.021835803985595703
20000,0.04849576950073242
30000,0.08539056777954102
40000,0.11784911155700684
50000,0.14501261711120605
