Size,Time
100,0.000000
1000,0.000484
2000,0.002087
3000,0.005071
4000,0.009157
5000,0.013654
6000,0.018238
7000,0.028349
8000,0.032320
9000,0.040496
10000,0.049830
20000,0.328360
30000,0.856949
40000,1.634291
50000,2.729215
